Biome,Proportion,Group
Temp. grass & shrub,0.08,Global
Trop. grass & shrub,0.17,Global
Temp. conifer & boreal for. ,0.14,Global
Trop. broadleaf & conifer for.,0.18,Global
Temp. broadleaf & mixed for.,0.12,Global
Tundra,0.09,Global
Montane grass & shrub,0.04,Global
Deserts,0.19,Global
Temp. grass & shrub,0.02,Database
Trop. grass & shrub,0.04,Database
Temp. conifer & boreal for. ,0.25,Database
Trop. broadleaf & conifer for.,0.21,Database
Temp. broadleaf & mixed for.,0.31,Database
Tundra,0.07,Database
Montane grass & shrub,0.05,Database
Deserts,0.04,Database
